Location,ID,Latitude,Longitude,River,ReachID
Mojave River - Mojave River Forks Reservoir,MVDC1,34.3425,-117.235,Mojave River,22660039
Mojave River - Victorville,MVVC1,34.57306,-117.31972,Mojave River,948090919
Mark West Creek - Mirabel Heights,MWEC1,38.49417,-122.85222,Mark West Creek,8273161
Santa Ana River - Muni Water Dist Crossing,MWXC1,33.96861,-117.4475,Santa Ana River,22563032
Nacimiento River - Lake Nacimiento,NACC1,35.75583,-120.89111,Nacimiento River,8212941
North Fork Yuba River - New Bullards Bar Reservoir,NBBC1,39.39278,-121.14028,North Fork Yuba River,8062451
Nacimiento River - Sapaque,NBYC1,35.78861,-121.09278,Nacimiento River,8209949
Feather River - Nicolaus,NCOC1,38.89111,-121.60389,Feather River,7975787
Tuolumne River - Don Pedro Lake,NDPC1,37.70167,-120.42111,Tuolumne River,17080371
N Fork Stanislaus River - Diversion Dam,NDVC1,38.43833,-120.01667,N Fork Stanislaus River,342483
North Fork American River - North Fork Dam,NFDC1,38.93611,-121.02278,North Fork American River,14994413
North Fork Feather River - East Branch,NFEC1,40.01111,-121.21694,North Fork Feather River,8025256
Calaveras River - New Hogan Lake,NHGC1,38.155,-120.81389,Calaveras River,17067086
Alameda Creek - Niles,NILC1,37.58722,-121.95972,Alameda Creek,2806725
NF of MF American River - Foresthill,NMFC1,39.02417,-120.7175,NF of MF American River,14993059
Stanislaus River - New Melones Lake,NMSC1,37.95,-120.53694,Stanislaus River,348435
Santa Ynez River - Narrows,NRWC1,34.63722,-120.42444,Santa Ynez River,948060325
Highland Creek - New Spicer Meadows Reservoir,NSWC1,38.39306,-119.99806,Highland Creek,347603
Navarro River - Navarro,NVRC1,39.17222,-123.66833,Navarro River,2665613
San Joaquin River - San Joaquin River - Newman,NWMC1,37.35056,-120.97611,San Joaquin River,2829226
Stanislaus River - Orange Blossom,OBBC1,37.78824,-120.7625,Stanislaus River,2825866
Klamath River - Orleans,ONSC1,41.30346,-123.5345,Klamath River,4442602
Feather River - Lake Oroville,ORDC1,39.53306,-121.51694,Feather River,2778598
Orestimba Creek - Orestimba Creek - Newman,OREC1,37.31556,-121.12417,Orestimba Creek,2827244
Sacramento River - Ord Ferry,ORFC1,39.62778,-121.99139,Sacramento River,2845759
Redwood Creek - Orick,ORIC1,41.29944,-124.05,Redwood Creek,8315607
Deer Creek - Scott Road,OTTC1,38.55139,-121.10973,Deer Creek,20192438
Middle Fork Yuba River - Below Our House Dam,OURC1,39.41167,-120.99694,Middle Fork Yuba River,8063597
Owens Creek - Owens Reservoir,OWCC1,37.31528,-120.18694,Owens Creek,17099035
Humboldt River - Palisade,PALN2,40.60722,-116.20194,Humboldt River,10782860
San Joaquin River - Patterson,PATC1,37.49389,-121.08111,San Joaquin River,2826944
Putah Creek - Guenoc,PCGC1,38.77889,-122.51639,Putah Creek,8015823
Palm Canyon Creek - Palm Springs 5S,PCNC1,33.745,-116.53472,Palm Canyon Creek,22593537
Kings River - Pine Flat Lake,PFTC1,36.83194,-119.32361,Kings River,17149780
Pacheco Creek - Dunneville,PHOC1,36.98,-121.37917,Pacheco Creek,17663037
San Benito River - Willow Creek,PIIC1,36.60944,-121.20194,San Benito River,17665649
Pit River - Montgomery Creek,PITC1,40.84389,-122.00139,Pit River,7951290
Eel River - Lake Pillsbury,PLBC1,39.40833,-122.95834,Eel River,8309952
North Fork Feather River - Prattville,PLLC1,40.20917,-121.15694,North Fork Feather River,2773738
South Fork Pit River - Likely,PLYC1,41.23083,-120.43611,South Fork Pit River,7932193
Panoche Creek - Interstate 5,PNEC1,36.6525,-120.63111,Panoche Creek,19784451
Merced River - Yosemite NP at Pohono Bridge,POHC1,37.71694,-119.66528,Merced River,21609641
Salinas River - Paso Robles,PRBC1,35.62778,-120.68556,Salinas River,8212843
Prosser Creek - Prosser Creek Reservoir,PSRC1,39.37944,-120.13667,Prosser Creek,8933720
Del Puerto Creek - Patterson,PTTC1,37.48667,-121.20806,Del Puerto Creek,2827982
Piru Creek - Pyramid Lake,PYMC1,34.64472,-118.76305,Piru Creek,17569485
Rockbound Tunnel - Rubicon Reservoir,RBBC1,38.98778,-120.22472,Rockbound Tunnel,14997045
Sacramento River - Red Bluff,RDBC1,40.15389,-122.20083,Sacramento River,12068890
Clear Creek - Igo,RDGC1,40.51333,-122.52306,Clear Creek,2495296
Carmel River - Robles Del Rio,RDRC1,36.47444,-121.72778,Carmel River,17600477
Russian River - Hacienda Bridge,RIOC1,38.50861,-122.92667,Russian River,8272725
Stanislaus River - Ripon,RIPC1,37.72972,-121.10944,Stanislaus River,2821830
Maacama Creek - Kellogg,RMKC1,38.64111,-122.76278,Maacama Creek,8272605
Cache Creek - Rumsey,RMSC1,38.89,-122.23806,Cache Creek,15027105
Rock Creek - Battle Mountain,ROCN2,40.825,-116.58333,Rock Creek,11192063
Bear River - Rollins Lake,ROLC1,39.13556,-120.94917,Bear River,15014945
Russian River - Highway 1 Bridge near Jenner,RROC1,38.43389,-123.10083,Russian River,8272953
Rubicon River - Foresthill,RUFC1,39.00028,-120.72306,Rubicon River,14993187
Sacramento Valley - Water Resources Index,SACC0,38.4542,-121.4983,Sacramento Valley,15048347
Sacramento River - Sacramento - I Street,SACC1,38.58886,-121.50528,Sacramento River,15039173
American River - Sacramento - H Street,SAMC1,38.56889,-121.4225,American River,948021144
Salmon River - Somes Bar,SBRC1,41.37778,-123.47639,Salmon River,8261865
Spanish Creek - Keddie,SCBC1,40.00306,-120.95333,Spanish Creek,8027910
Sycan River - Beatty,SCNO3,42.48611,-121.27778,Sycan River,24084766
Eel River - Scotia,SCOC1,40.49167,-124.09861,Eel River,2704735
Santa Clara River - Piru,SCPC1,34.40361,-118.73833,Santa Clara River,17575785
Steamboat Creek - Steamboat,SCRN2,39.37778,-119.7425,Steamboat Creek,8935822
Tule River - Lake Success,SCSC1,36.06111,-118.92194,Tule River,17159700
Steamboat Creek - Sparks - Cleanwater Way,SCWN2,39.51305,-119.71139,Steamboat Creek,8932212
Salinas River - Soledad,SDDC1,36.41111,-121.31833,Salinas River,948060170
Klamath River - Seiad Valley,SEIC1,41.85389,-123.23111,Klamath River,4440518
Sespe Creek - Fillmore,SESC1,34.44166,-118.92732,Sespe Creek,17574345
San Francisquito Creek - Stanford University,SFCC1,37.42333,-122.18833,San Francisquito Creek,17693217
Stony Creek - Stony Gorge Reservoir,SGEC1,39.58306,-122.53306,Stony Creek,7993025
Sagehen Creek - Truckee,SGNC1,39.43167,-120.23694,Sagehen Creek,8933522
Sacramento River - Shasta Lake,SHDC1,40.71417,-122.41611,Sacramento River,7966205
Napa River - Saint Helena,SHEC1,38.51139,-122.45472,Napa River,1670127
San Luis Rey River - Shearer Crossing,SHRC1,33.33278,-117.14972,San Luis Rey River,20342485
Scotts Creek - Lakeport,SKPC1,39.09556,-122.96,Scotts Creek,8006559
South Fork Kern River - Onyx,SKRC1,35.7375,-118.17278,South Fork Kern River,14961097
San Luis Rey River - Oceanside,SLOC1,33.21806,-117.35944,San Luis Rey River,20342539
Salsipuedes Creek - Lompoc,SLUC1,34.58861,-120.4075,Salsipuedes Creek,17609017
Santa Margarita River - Temecula,SMHC1,33.47389,-117.14139,Santa Margarita River,22549075
San Antonio River - Lake San Antonio,SNRC1,35.79667,-120.88556,San Antonio River,8212925
Arroyo Seco - Soledad,SOLC1,36.28056,-121.32167,Arroyo Seco,8205291
Middle Fork Cosumnes River - Somerset,SOSC1,38.62417,-120.70056,Middle Fork Cosumnes River,20195334
Deer Creek - Scotts Flat Reservoir,SOVC1,39.27361,-120.93111,Deer Creek,8064719
Salinas River - Spreckels,SPRC1,36.63111,-121.67139,Salinas River,8200523
Pilot Creek - Above Stumpy Meadows Reservoir,SPYC1,38.89472,-120.56722,Pilot Creek,14997987
Santa Ana River - San Bernardino - E Street,SREC1,34.065,-117.29944,Santa Ana River,22557960
Santa Ana River - Mentone,SRWC1,34.10834,-117.10059,Santa Ana River,22555926
Santa Rosa Creek - Santa Rosa,SSAC1,38.43667,-122.72361,Santa Rosa Creek,8273645
Sisquoc River - Sisquoc,SSQC1,34.83972,-120.16722,Sisquoc River,17625379
Stevens Creek - Stevens Creek Reservoir,STDC1,37.29861,-122.07611,Stevens Creek,17693257
Little Truckee River - Stampede Reservoir,STPC1,39.47056,-120.10306,Little Truckee River,8933230
Merced River - Stevinson,STVC1,37.37083,-120.92944,Merced River,2833552
Carson River - Carson City,STWN2,39.10778,-119.71222,Carson River,8920583
South Fork Yuba River - Lake Spaulding,SUAC1,39.32639,-120.64222,South Fork Yuba River,8064009
Santa Ysabel Creek - Sutherland Reservoir,SUDC1,33.11806,-116.78667,Santa Ysabel Creek,20330934
Susan River - Susanville,SUSC1,40.41306,-120.66389,Susan River,20296767
Silver Creek - Camino Reservoir,SVCC1,38.82389,-120.53833,Silver Creek,14981952
San Vicente Creek - San Vicente Reservoir,SVIC1,32.91278,-116.92416,San Vicente Creek,20334576
West Fork Mojave River - Silverwood Lake,SVWC1,34.30417,-117.31805,West Fork Mojave River,22660171
Lake Tahoe Inflow - Tahoe Basin,TAHC1,39.16778,-120.14278,Lake Tahoe Inflow,8934094
Truckee River - Below Derby Dam,TBDN2,39.58472,-119.44028,Truckee River,8931712
Trinity River - Above Coffee Creek,TCCC1,41.11139,-122.70444,Trinity River,8242324
Thomes Creek - Paskenta,TCRC1,39.88861,-122.52139,Thomes Creek,12074976
Sacramento River - Tehama Bridge,TEHC1,40.02876,-122.11798,Sacramento River,12068958
Temecula River - Aguanga,TEKC1,33.45917,-116.92278,Temecula River,22549471
Tres Pinos Creek - Tres Pinos,TESC1,36.76472,-121.29583,Tres Pinos Creek,17663805
Lake Tahoe - Tahoe City,THLC1,39.18083,-120.11833,Lake Tahoe,8942147
San Timoteo Creek - Loma Linda,TIMC1,34.06361,-117.27194,San Timoteo Creek,22557960
Sacramento River - Tisdale Weir,TISC1,39.02667,-121.82111,Sacramento River,2851585
Kaweah River - Lake Kaweah,TMDC1,36.415,-119.00194,Kaweah River,24774952
West Walker River - Topaz Lake,TOPN2,38.69306,-119.51944,West Walker River,10743558
Truckee River - Truckee,TRCC1,39.29639,-120.20444,Truckee River,8933958
