Location,ID,Latitude,Longitude,River
Santa Ysabel Creek - Sutherland Reservoir,SUDC1,33.11806,-116.78667,Santa Ysabel Creek
Susan River - Susanville,SUSC1,40.41306,-120.66389,Susan River
Silver Creek - Camino Reservoir,SVCC1,38.82389,-120.53833,Silver Creek
San Vicente Creek - San Vicente Reservoir,SVIC1,32.91278,-116.92416,San Vicente Creek
West Fork Mojave River - Silverwood Lake,SVWC1,34.30417,-117.31805,West Fork Mojave River
Lake Tahoe Inflow - Tahoe Basin,TAHC1,39.16778,-120.14278,Lake Tahoe Inflow
Truckee River - Below Derby Dam,TBDN2,39.58472,-119.44028,Truckee River
Trinity River - Above Coffee Creek,TCCC1,41.11139,-122.70444,Trinity River
Thomes Creek - Paskenta,TCRC1,39.88861,-122.52139,Thomes Creek
Sacramento River - Tehama Bridge,TEHC1,40.02876,-122.11798,Sacramento River
Temecula River - Aguanga,TEKC1,33.45917,-116.92278,Temecula River
Tres Pinos Creek - Tres Pinos,TESC1,36.76472,-121.29583,Tres Pinos Creek
Lake Tahoe - Tahoe City,THLC1,39.18083,-120.11833,Lake Tahoe
San Timoteo Creek - Loma Linda,TIMC1,34.06361,-117.27194,San Timoteo Creek
Sacramento River - Tisdale Weir,TISC1,39.02667,-121.82111,Sacramento River
Kaweah River - Lake Kaweah,TMDC1,36.415,-119.00194,Kaweah River
West Walker River - Topaz Lake,TOPN2,38.69306,-119.51944,West Walker River
Truckee River - Truckee,TRCC1,39.29639,-120.20444,Truckee River
Trinity River - Junction City,TRJC1,40.72861,-123.06083,Trinity River
Trinity River - Above NF Trinity R Nr Helena,TRNC1,40.76722,-123.11333,Trinity River
Truckee River - Reno,TRRN2,39.53028,-119.79472,Truckee River
Temescal Creek - Corona - Main Street,TSLC1,33.88917,-117.56194,Temescal Creek
South Fork Tule River - Reservation Boundary,TVRC1,36.02417,-118.8125,South Fork Tule River
Cuyama River - Twitchell Dam,TWDC1,34.98361,-120.32083,Cuyama River
Russian River - Ukiah 3NNE,UKAC1,39.19556,-123.19389,Russian River
Silver Creek - Union Valley Reservoir,UNVC1,38.86806,-120.44306,Silver Creek
Upper Penitencia Creek - Piedmont Road,UPCC1,37.39084,-121.8425,Upper Penitencia Creek
Uvas Creek - Uvas Reservoir,UVRC1,37.06556,-121.6875,Uvas Creek
Santa Clara River - Victoria Avenue,VCAC1,34.235,-119.21583,Santa Clara River
Truckee River - Vista,VISN2,39.52056,-119.7,Truckee River
Temecula Creek - Vail Lake,VLKC1,33.49556,-116.97583,Temecula Creek
San Joaquin Valley - Water Resources Index,VNSC0,37.78611,-121.30583,San Joaquin Valley
San Joaquin River - Vernalis,VNSC1,37.67611,-121.26528,San Joaquin River
Sacramento River - Verona,VONC1,38.78083,-121.60333,Sacramento River
Ventura River - Ventura - Foster Park,VRVC1,34.35139,-119.30639,Ventura River
Sacramento River - Vina Woodson Bridge,VWBC1,39.90889,-122.09111,Sacramento River
Truckee River - Wadsworth,WADN2,39.63222,-119.28222,Truckee River
Warthan Creek - Coalinga,WARC1,36.09806,-120.44333,Warthan Creek
West Branch Feather River - Magalia,WBGC1,39.825,-121.5675,West Branch Feather River
West Fork Mojave River - Hesperia,WFMC1,34.33889,-117.25694,West Fork Mojave River
Clear Creek - Whiskeytown Reservoir,WHSC1,40.59806,-122.53694,Clear Creek
